title,artist,albums,albums_filtered,main_album
Лава,alyona alyona,['LAVA'],['LAVA'],Other
А що буде,alyona alyona,"['А що буде', 'А що буде - Single']",[],Other
Обираєш сам,alyona alyona,['LAVA'],['LAVA'],Other
Тихо діти сплять,alyona alyona,['Тихо діти сплять - Single'],[],Other
Дикі Танці - Dred Remix,alyona alyona,[],[],Other
Дикі Танці - Vilnyy Remix,alyona alyona,[],[],Other
Рибки 2,alyona alyona,[],[],Other
Дикі Танці - Mirlin Remix,alyona alyona,[],[],Other
Обіцянки,alyona alyona,"['Обіцянки', 'Обіцянки - Single']",[],Other
Ми вас вітаєм,alyona alyona,[],[],Other
Човен на слова Франка,Один В Каное,[],[],Other
Rainman,Один В Каное,[],[],Other
Білизна,Один В Каное,[],[],Other
Ікони,Один В Каное,[],[],Other
Тримай,Один В Каное,[],[],Other
Три хвилини,Друга Ріка,"['Рекорди', 'Best']","['Best', 'Рекорди']",Best
Дотик,Друга Ріка,"['Мода', 'Best']","['Best', 'Мода']",Best
Фурія,Друга Ріка,"['Мода', 'Best']","['Best', 'Мода']",Best
П'ю з твоїх долонь,Друга Ріка,"['Рекорди', 'Best']","['Best', 'Рекорди']",Best
Пропоную мир,Друга Ріка,"['Мода', 'Best']","['Best', 'Мода']",Best
Відчиняй,Друга Ріка,"['Рекорди', 'Денніч']","['Денніч', 'Рекорди']",Денніч
Математика,Друга Ріка,"['Два', 'Best']","['Best', 'Два']",Best
Спи до завтра,Друга Ріка,"['Рекорди', 'Best']","['Best', 'Рекорди']",Best
Впусти мене,Друга Ріка,"['Я є', 'Денніч']","['Денніч', 'Я є']",Денніч
Не треба,Друга Ріка,['Мода'],['Мода'],Мода
Оксана,Друга Ріка,"['ДенНіч', 'Best']","['Best', 'Денніч']",Best
Космоzoo,Друга Ріка,"['Мода', 'Best']","['Best', 'Мода']",Best
Алло,Друга Ріка,"['Два', 'Best']","['Best', 'Два']",Best
Кінець світу,Друга Ріка,['Мода'],['Мода'],Мода
Шансон,Друга Ріка,"['ДенНіч', 'Best']","['Best', 'Денніч']",Best
Денніч,Друга Ріка,"['ДенНіч', 'Денніч']",['Денніч'],Денніч
Там де ти,Друга Ріка,"['Я є', 'ДенНіч']","['Денніч', 'Я є']",Денніч
Незнайомка,Друга Ріка,"['Metanoia, Pt. 1', 'Інша Ріка']","['Metanoia, Pt. 1', 'Інша Ріка']",Інша Ріка
Дискомоdа,Друга Ріка,['Мода'],['Мода'],Мода
Секрет,Друга Ріка,"['Піраміда', 'Інша Ріка']","['Інша Ріка', 'Піраміда']",Інша Ріка
Я чую тебе тут,Друга Ріка,[],[],Other
Не йди,Друга Ріка,['Рекорди'],['Рекорди'],Рекорди
Секс на драйв,Друга Ріка,['Рекорди'],['Рекорди'],Рекорди
